question,notes,id,score
Define what is  accuracy,"   The fraction of predictions that aclassification modelgot right. Inmulti-class classification, accuracy
is defined as follows:  Accuracy=CorrectPredictionsTotalNumberOfExamplesAccuracy = \frac{Correct\,Predictions} {Total\,Number\,Of\,Examples}  Inbinary classification, accuracy has
the following definition:  Accuracy=TruePositives+TrueNegativesTotalNumberOfExamplesAccuracy = \frac{True\,Positives + True\,Negatives} {Total\,Number\,Of\,Examples}  Seetrue positiveandtrue negative.  ",0,-1
Define what is activation function,"   A function (for example,ReLUorsigmoid)
that takes in the weighted sum of all of the inputs from the previous layer
and then generates and passes an output value (typically nonlinear) to the next
layer.  ",1,-1
Define what is  AdaGrad,"   A sophisticated gradient descent algorithm that rescales the
gradients of each parameter, effectively giving each parameter
an independentlearning rate. For a full explanation, seethis paper.  ",2,-1
Define what is  AUC (Area under the ROC Curve),"   An evaluation metric that considers all possibleclassification thresholds.  The Area Under theROC curveis the probability that a classifier
will be more confident that a randomly chosen positive example is actually
positive than that a randomly chosen negative example is positive. ",3,-1
Define what is  backpropagation,"   The primary algorithm for performinggradient descentonneural networks. First, the output values
of each node are calculated (and cached) in a forward pass.
Then, thepartial derivativeof the error with respect to each parameter is calculated in a backward
pass through the graph.  ",4,-1
Define what is  baseline,"   A simplemodelor heuristic used as reference point for comparing
how well a model is performing. A baseline helps model developers quantify
the minimal, expected performance on a particular problem.  ",5,-1
Define what is  batch,"   The set of examples used in one iteration (that is, onegradientupdate) ofmodel training.  ",6,-1
Define what is  batch size,"   The number of examples in abatch. For example, the batch size
ofSGDis 1, while the batch size of
amini-batchis usually between 10 and 1000. Batch size is
usually fixed during training and inference; however, TensorFlow does permit
dynamic batch sizes.  ",7,-1
Define what is  bias,"   An intercept or offset from an origin. Bias (also known as thebias term) is referred to asborw0in
machine learning models.  For example, bias is thebin the
following formula:  y′=b+w1x1+w2x2+…wnxny' = b + w_1x_1 + w_2x_2 + … w_nx_n  Not to be confused withprediction bias.  ",8,-1
Define what is  binary classification,"   A type of classification task that outputs one of two mutually
exclusive classes. For example, a machine learning model that evaluates
email messages and outputs either ""spam"" or ""not spam"" is a binary classifier.  ",9,-1
Define what is  binning,   Seebucketing.  ,10,-1
Define what is  bucketing,"   Converting a (usuallycontinuous) feature into
multiple binary features called buckets or bins, typically based on value
range. For example, instead of representing temperature as a single
continuous floating-point feature, you could chop ranges of temperatures
into discrete bins. Given temperature data sensitive to a tenth of a degree,
all temperatures between 0.0 and 15.0 degrees could be put into one bin,
15.1 to 30.0 degrees could be a second bin, and 30.1 to 50.0 degrees could
be a third bin. ",11,-1
Define what is  calibration layer,"   A post-prediction adjustment, typically to account forprediction bias. The adjusted predictions and
probabilities should match the distribution of an observed set of labels.  ",12,-1
Define what is  candidate sampling,"   A training-time optimization in which a probability is calculated for all
the positive labels, using, for example, softmax, but only for a random
sample of negative labels. For example, if we have an example labeledbeagleanddogcandidate sampling computes the predicted probabilities
and corresponding loss terms for thebeagleanddogclass outputs
in addition to a random subset of the remaining classes
(cat,lollipop,fence). The idea is that thenegative classescan learn from less frequent
negative reinforcement as long aspositive classesalways get proper positive
reinforcement, and this is indeed observed empirically. The motivation for
candidate sampling is a computational efficiency win from not computing
predictions for all negatives.  ",13,-1
Define what is  checkpoint,"   Data that captures the state of the variables of a model at a particular
time. Checkpoints enable exporting modelweights, as well
as performing training across multiple sessions. Checkpoints also enable
training to continue past errors (for example, job preemption). Note that
thegraphitself is not included in a checkpoint.  ",14,-1
Define what is  class,"   One of a set of enumerated target values for a label. For example, in abinary classificationmodel that detects
spam, the two classes arespamandnot spam.  In amulti-class classificationmodel that
identifies dog breeds, the classes would bepoodle,beagle,pug, and so
on.  ",15,-1
Define what is  class-imbalanced data set,"   Abinary classificationproblem in which thelabelsfor the two classes have significantly different
frequencies.  For example, a disease data set in which 0.0001 of examples
have positive labels and 0.9999 have negative labels is a class-imbalanced
problem, but a football game predictor in which 0.51 of examples label one
team winning and 0.49 label the other team winning isnota
class-imbalanced problem.  ",16,-1
Define what is  classification model,"   A type of machine learning model for distinguishing among two or more
discrete classes. For example, a natural language processing classification
model could determine whether an input sentence was in French, Spanish,
or Italian. Compare withregression model.  ",17,-1
Define what is  classification threshold,"   A scalar-value criterion that is applied to a model's predicted score in order
to separate thepositive classfrom thenegative
class.  Used when mappinglogistic regressionresults tobinary classification. For example, consider
a logistic regression model that determines the probability of a given email
message being spam. If the classification threshold is 0.9, then logistic
regression values above 0.9 are classified asspamand those below
0.9 are classified asnot spam.  ",18,-1
Define what is  confusion matrix,"   An NxN table that summarizes how successful aclassification model'spredictions were; that is,
the correlation between the label and the model's classification. One axis of
a confusion matrix is the label that the model predicted, and the other axis
is the actual label. N represents the number of classes. In abinary classificationproblem, N=2. For example,
here is a sample confusion matrix for a binary classification problem:  Tumor (predicted)Non-Tumor (predicted)Tumor (actual)181Non-Tumor (actual)6452  The preceding confusion matrix shows that of the 19 samples that actually had
tumors, the model correctly classified 18 as having tumors
(18 true positives), and incorrectly classified 1 as not having a tumor
(1 false negative). Similarly, of 458 samples that actually did not have
tumors, 452 were correctly classified (452 true negatives) and 6 were
incorrectly classified (6 false positives).  The confusion matrix of a multi-class confusion matrix can help you
determine mistake patterns. For example, a confusion matrix could reveal
that a model trained to recognize handwritten digits tends to mistakenly
predict 9 instead of 4, or 1 instead of 7.
The confusion matrix contains sufficient information to calculate a
variety of performance metrics, including precision and recall.  ",19,-1
